,0
Intercept,[-0.00514159]
MenopausalStatus,0.071672889
HormoneTherapyHistory,0.10221216
FamilyHistory,0.054692905
MedicalHistory,0.030310491
BloodFlowPresence,0.123134173
TendernessonPalpation,0.065909728
CA125,3.56E-05
HE4,0.000149989
CA19-9,5.56E-06
AFP,4.08E-06
CEA,0.000316642
MaximumDiameter,0.003028347
img_feature_0,0.01337498
img_feature_2,0.000738427
img_feature_5,-0.012857346
img_feature_6,-0.029791634
img_feature_7,-0.010370631
img_feature_8,-0.000343448
img_feature_9,-0.01262294
img_feature_11,-0.001063547
img_feature_12,-0.0070123
img_feature_13,-0.021499667
img_feature_15,0.006085913
img_feature_16,-0.001434044
img_feature_21,-0.042453953
img_feature_22,-0.000413546
img_feature_23,0.008309577
img_feature_25,0.007046432
img_feature_26,-0.007485619
img_feature_27,-0.01022513
img_feature_28,-0.013168567
img_feature_29,0.009410872
img_feature_31,0.000749875
img_feature_32,-0.010180873
img_feature_37,0.012772379
img_feature_39,-0.013507708
img_feature_40,0.004993432
img_feature_42,-0.009516808
img_feature_43,-0.006644545
img_feature_45,0.004997552
img_feature_46,-0.004210569
img_feature_49,-0.001625956
img_feature_52,-0.017818089
img_feature_54,-0.011518744
img_feature_56,0.011391057
img_feature_57,-0.008240988
img_feature_60,-0.010192142
img_feature_61,-0.006740959
img_feature_62,0.001743278
img_feature_64,-0.041513397
img_feature_65,-0.008269967
img_feature_68,-0.025531522
img_feature_70,0.002952248
img_feature_72,0.024757827
img_feature_74,0.021062792
img_feature_75,-0.021700736
img_feature_76,-0.00308809
img_feature_78,-0.022414118
img_feature_79,-0.007275605
img_feature_80,-0.00646772
img_feature_81,0.007038671
img_feature_83,-0.010790907
img_feature_86,-0.00868954
img_feature_87,-0.001278289
img_feature_90,0.008165578
img_feature_91,0.010938952
img_feature_93,-0.012378493
img_feature_95,-0.003196271
img_feature_98,-0.014023657
img_feature_100,0.001385366
img_feature_101,-0.019948891
img_feature_103,-0.007542801
img_feature_105,-0.00872466
img_feature_107,-0.006827849
img_feature_108,-0.024467442
img_feature_114,-0.010632478
img_feature_115,-0.000526157
img_feature_116,0.009294152
img_feature_118,-0.007807598
img_feature_119,-0.002762404
img_feature_120,-0.02250861
img_feature_122,0.007754843
img_feature_123,0.005586223
img_feature_125,-0.010651555
img_feature_126,-0.018708689
img_feature_127,0.007085072
img_feature_128,-0.002782497
img_feature_129,0.001983754
img_feature_130,0.01429035
img_feature_131,0.022485449
img_feature_134,-0.008024981
img_feature_135,0.000557869
img_feature_137,0.021999977
img_feature_138,0.013343357
img_feature_139,-0.014622136
img_feature_140,-0.001196816
img_feature_141,-0.017476995
img_feature_142,-0.000259856
img_feature_144,-0.018276133
img_feature_147,0.009888259
img_feature_148,0.018759876
img_feature_149,0.012611347
img_feature_150,-0.017542432
img_feature_152,-0.005717041
img_feature_154,-0.017110522
img_feature_155,0.029401017
img_feature_157,0.008039329
img_feature_158,-0.001896455
img_feature_160,0.020070325
img_feature_161,0.041708678
img_feature_163,-0.004134194
img_feature_164,0.000191256
img_feature_165,0.008283304
img_feature_167,-0.007785548
img_feature_169,0.020947177
img_feature_170,-0.004553382
img_feature_172,1.54E-06
img_feature_174,-0.008345579
img_feature_176,-0.003902675
img_feature_177,-0.0027919
img_feature_178,0.010958986
img_feature_179,-0.015997788
img_feature_182,-0.008724436
img_feature_183,-0.022433741
img_feature_185,0.015281144
img_feature_186,0.010559574
img_feature_187,0.002766119
img_feature_189,0.004074685
img_feature_190,-2.36E-05
img_feature_194,-0.003076851
img_feature_196,0.021112099
img_feature_200,0.005850815
img_feature_202,0.017219267
img_feature_203,0.019614158
img_feature_205,0.002262083
img_feature_206,-0.007071086
img_feature_207,0.00401135
img_feature_211,-0.008766882
img_feature_213,-0.000668203
img_feature_214,-0.004231667
img_feature_215,0.004251266
img_feature_216,0.004106552
img_feature_217,0.00957311
img_feature_218,0.01927173
img_feature_219,0.017324013
img_feature_221,0.017344984
img_feature_222,0.001439712
img_feature_223,-0.018619056
img_feature_224,0.001036562
img_feature_225,0.001608209
img_feature_228,-0.002196469
img_feature_230,-0.003927048
img_feature_231,-0.005335144
img_feature_232,0.015758196
img_feature_237,-0.015579666
img_feature_238,-0.01265769
img_feature_239,-0.004303408
img_feature_241,0.001435252
img_feature_242,-0.008643422
img_feature_244,-0.014237359
img_feature_248,-0.005143105
img_feature_250,-0.003402066
img_feature_251,0.006025796
img_feature_252,0.002148337
img_feature_253,0.028401153
img_feature_255,0.000661358
img_pred_result,0.368691171
